Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
0,100
0.1,67.37927
0.2,65.38624
0.3,64.0902
0.4,62.9733
0.5,62.08692
0.6,61.31981
0.7,60.67501
0.8,60.05026
0.9,59.47855
1,58.94464
1.1,58.46418
1.2,58.00726
1.3,57.57239
1.4,57.15628
1.5,56.76538
1.6,56.38332
1.7,56.02123
1.8,55.66376
1.9,55.3072
2,54.96145
2.1,54.62284
2.2,54.30918
2.3,54.00433
2.4,53.69702
2.5,53.38535
2.6,53.07976
2.7,52.78311
2.8,52.49785
2.9,52.21502
3,51.9469
3.1,51.67119
3.2,51.39243
3.3,51.11374
3.4,50.83107
3.5,50.55068
3.6,50.2744
3.7,49.99595
3.8,49.72233
3.9,49.45392
4,49.18979
4.1,48.91543
4.2,48.634
4.3,48.35039
4.4,48.06671
4.5,47.77984
4.6,47.48973
4.7,47.19208
4.8,46.89928
4.9,46.61711
5,46.33295
5.1,46.04762
5.2,45.76175
5.3,45.47294
5.4,45.17924
5.5,44.87708
5.6,44.57248
5.7,44.27122
5.8,43.96796
5.9,43.67375
6,43.3867
6.1,43.09145
6.2,42.79132
6.3,42.49581
6.4,42.19818
6.5,41.89294
6.6,41.57539
6.7,41.24908
6.8,40.919
6.9,40.58986
7,40.27666
7.1,39.9581
7.2,39.63221
7.3,39.3043
7.4,38.96158
7.5,38.61317
7.6,38.24291
7.7,37.86695
7.8,37.48747
7.9,37.11451
8,36.73104
8.1,36.33351
8.2,35.91524
8.3,35.47846
8.4,35.01324
8.5,34.51865
8.6,33.97952
8.7,33.43836
8.8,32.84806
8.9,32.19224
9,31.47014
9.1,30.63891
9.2,29.79472
9.3,28.87428
9.4,27.84675
9.5,26.74777
9.6,25.55318
9.7,24.2723
9.8,22.73821
9.9,20.16572
10,12.46238
10.1,2.8516
10.2,0.10925
10.3,0
