Absolute Dose(Gy),Liver (7) (Volume: 1627.6 mL)
0,100
0.1,39.64536
0.2,38.44345
0.3,37.69561
0.4,37.1361
0.5,36.68232
0.6,36.30194
0.7,35.97445
0.8,35.68621
0.9,35.43006
1,35.19813
1.1,34.98625
1.2,34.79096
1.3,34.61003
1.4,34.44093
1.5,34.28284
1.6,34.13394
1.7,33.99277
1.8,33.85915
1.9,33.73215
2,33.61081
2.1,33.49495
2.2,33.38383
2.3,33.27721
2.4,33.17435
2.5,33.07533
2.6,32.97975
2.7,32.88663
2.8,32.79699
2.9,32.71005
3,32.62534
3.1,32.54329
3.2,32.46323
3.3,32.38484
3.4,32.30889
3.5,32.23443
3.6,32.16195
3.7,32.09019
3.8,32.02081
3.9,31.95254
4,31.88596
4.1,31.81991
4.2,31.7558
4.3,31.69251
4.4,31.63061
4.5,31.56967
4.6,31.50952
4.7,31.45072
4.8,31.39228
4.9,31.33539
5,31.27931
5.1,31.22412
5.2,31.16947
5.3,31.11551
5.4,31.06247
5.5,31.01002
5.6,30.95836
5.7,30.90726
5.8,30.85696
5.9,30.80721
6,30.758
6.1,30.70932
6.2,30.66162
6.3,30.61389
6.4,30.56681
6.5,30.52027
6.6,30.4743
6.7,30.42847
6.8,30.38345
6.9,30.33881
7,30.29468
7.1,30.25086
7.2,30.20758
7.3,30.16449
7.4,30.12184
7.5,30.07957
7.6,30.03773
7.7,29.9963
7.8,29.95491
7.9,29.91414
8,29.87346
8.1,29.83338
8.2,29.79325
8.3,29.75383
8.4,29.71453
8.5,29.67513
8.6,29.63656
8.7,29.5979
8.8,29.55995
8.9,29.52163
9,29.484
9.1,29.44645
9.2,29.40903
9.3,29.37221
9.4,29.33519
9.5,29.29878
9.6,29.26246
9.7,29.22611
9.8,29.19059
9.9,29.15457
10,29.11933
10.1,29.08437
10.2,29.04897
10.3,29.0142
10.4,28.97947
10.5,28.94499
10.6,28.91051
10.7,28.87631
10.8,28.84211
10.9,28.80874
11,28.77476
11.1,28.74121
11.2,28.70782
11.3,28.67463
11.4,28.64158
11.5,28.60859
11.6,28.57576
11.7,28.54347
11.8,28.51076
11.9,28.47849
12,28.44601
12.1,28.41395
12.2,28.38211
12.3,28.35008
12.4,28.3185
12.5,28.28658
12.6,28.25504
12.7,28.22357
12.8,28.19248
12.9,28.16109
13,28.12995
13.1,28.09891
13.2,28.06787
13.3,28.03735
13.4,28.0061
13.5,27.97598
13.6,27.94522
13.7,27.91453
13.8,27.88437
13.9,27.85444
14,27.82376
14.1,27.79379
14.2,27.76347
14.3,27.73383
14.4,27.70354
14.5,27.67387
14.6,27.64413
14.7,27.61403
14.8,27.58453
14.9,27.55484
15,27.5253
15.1,27.49579
15.2,27.46632
15.3,27.4367
15.4,27.40753
15.5,27.37825
15.6,27.34912
15.7,27.31961
15.8,27.29045
15.9,27.26124
16,27.23251
16.1,27.20341
16.2,27.17444
16.3,27.14544
16.4,27.11632
16.5,27.08805
16.6,27.05894
16.7,27.03039
16.8,27.00162
16.9,26.9728
17,26.94407
17.1,26.91564
17.2,26.88695
17.3,26.85834
17.4,26.8295
17.5,26.801
17.6,26.77262
17.7,26.74406
17.8,26.7156
17.9,26.68679
18,26.65816
18.1,26.62977
18.2,26.60118
18.3,26.57273
18.4,26.54451
18.5,26.51568
18.6,26.48713
18.7,26.45847
18.8,26.43021
18.9,26.40158
19,26.37292
19.1,26.34467
19.2,26.31585
19.3,26.28729
19.4,26.25877
19.5,26.23008
19.6,26.20139
19.7,26.17293
19.8,26.14388
19.9,26.11492
20,26.0861
20.1,26.05727
20.2,26.02865
20.3,25.99935
20.4,25.9704
20.5,25.94145
20.6,25.91211
20.7,25.88302
20.8,25.8539
20.9,25.8246
21,25.7949
21.1,25.76537
21.2,25.73618
21.3,25.7066
21.4,25.67697
21.5,25.64706
21.6,25.61707
21.7,25.58714
21.8,25.5573
21.9,25.52719
22,25.49693
22.1,25.46639
22.2,25.43576
22.3,25.40508
22.4,25.37414
22.5,25.34317
22.6,25.31231
22.7,25.28105
22.8,25.24939
22.9,25.21759
23,25.18576
23.1,25.15389
23.2,25.12164
23.3,25.08925
23.4,25.05652
23.5,25.02352
23.6,24.99031
23.7,24.95674
23.8,24.9232
23.9,24.88905
24,24.85453
24.1,24.82005
24.2,24.78469
24.3,24.74926
24.4,24.71308
24.5,24.67679
24.6,24.63968
24.7,24.60224
24.8,24.5643
24.9,24.52511
25,24.48285
25.1,24.43614
25.2,24.38652
25.3,24.3334
25.4,24.27761
25.5,24.21844
25.6,24.15441
25.7,24.08474
25.8,24.0073
25.9,23.92135
26,23.83039
26.1,23.73443
26.2,23.63281
26.3,23.5291
26.4,23.4241
26.5,23.31651
26.6,23.20593
26.7,23.09651
26.8,22.98917
26.9,22.88717
27,22.79501
27.1,22.71424
27.2,22.64658
27.3,22.58853
27.4,22.53755
27.5,22.49096
27.6,22.44768
27.7,22.40701
27.8,22.36769
27.9,22.33096
28,22.29506
28.1,22.26141
28.2,22.22816
28.3,22.19598
28.4,22.16472
28.5,22.13367
28.6,22.10327
28.7,22.07342
28.8,22.04461
28.9,22.01523
29,21.98697
29.1,21.95866
29.2,21.93065
29.3,21.90345
29.4,21.87629
29.5,21.84895
29.6,21.82222
29.7,21.79576
29.8,21.76949
29.9,21.74354
30,21.71738
30.1,21.69165
30.2,21.66646
30.3,21.64106
30.4,21.61595
30.5,21.59105
30.6,21.56621
30.7,21.54149
30.8,21.51658
30.9,21.4921
31,21.46786
31.1,21.44321
31.2,21.41948
31.3,21.39531
31.4,21.37136
31.5,21.34698
31.6,21.32342
31.7,21.29943
31.8,21.27607
31.9,21.25289
32,21.22936
32.1,21.20532
32.2,21.18193
32.3,21.15887
32.4,21.13588
32.5,21.113
32.6,21.0897
32.7,21.06662
32.8,21.04384
32.9,21.02107
33,20.99803
33.1,20.97554
33.2,20.95282
33.3,20.92998
33.4,20.90727
33.5,20.88433
33.6,20.86181
33.7,20.83953
33.8,20.81693
33.9,20.79422
34,20.77155
34.1,20.74898
34.2,20.72668
34.3,20.70429
34.4,20.68169
34.5,20.65948
34.6,20.63668
34.7,20.61417
34.8,20.59202
34.9,20.5697
35,20.54719
35.1,20.5252
35.2,20.50289
35.3,20.48077
35.4,20.45823
35.5,20.4358
35.6,20.41377
35.7,20.39165
35.8,20.36929
35.9,20.34712
36,20.32445
36.1,20.30212
36.2,20.27985
36.3,20.25755
36.4,20.23537
36.5,20.21292
36.6,20.1901
36.7,20.16768
36.8,20.14564
36.9,20.12323
37,20.10047
37.1,20.07786
37.2,20.05541
37.3,20.03311
37.4,20.01059
37.5,19.9881
37.6,19.96533
37.7,19.94283
37.8,19.92044
37.9,19.89754
38,19.87479
38.1,19.85194
38.2,19.82937
38.3,19.80612
38.4,19.78319
38.5,19.76039
38.6,19.73742
38.7,19.71439
38.8,19.69123
38.9,19.66763
39,19.64471
39.1,19.62145
39.2,19.59834
39.3,19.57442
39.4,19.55063
39.5,19.52732
39.6,19.50391
39.7,19.48005
