Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
0,100
0.1,77.96642
0.2,76.63524
0.3,75.79823
0.4,75.14747
0.5,74.62021
0.6,74.1659
0.7,73.77476
0.8,73.42632
0.9,73.10158
1,72.80592
1.1,72.53776
1.2,72.28028
1.3,72.04375
1.4,71.81999
1.5,71.60737
1.6,71.40248
1.7,71.20751
1.8,71.02764
1.9,70.85773
2,70.6924
2.1,70.52976
2.2,70.37508
2.3,70.22475
2.4,70.07739
2.5,69.93196
2.6,69.78801
2.7,69.65103
2.8,69.51833
2.9,69.39079
3,69.26693
3.1,69.14389
3.2,69.02146
3.3,68.89815
3.4,68.77273
3.5,68.65898
3.6,68.54869
3.7,68.44019
3.8,68.33678
3.9,68.23417
4,68.13193
4.1,68.02843
4.2,67.9236
4.3,67.81881
4.4,67.71416
4.5,67.60916
4.6,67.50455
4.7,67.39523
4.8,67.28937
4.9,67.1858
5,67.08757
5.1,66.9948
5.2,66.90048
5.3,66.80571
5.4,66.71077
5.5,66.61513
5.6,66.51992
5.7,66.42409
5.8,66.32705
5.9,66.22864
6,66.12706
6.1,66.02036
6.2,65.91605
6.3,65.81122
6.4,65.70724
6.5,65.60512
6.6,65.50642
6.7,65.40648
6.8,65.30299
6.9,65.1966
7,65.08571
7.1,64.97007
7.2,64.84771
7.3,64.71817
7.4,64.57954
7.5,64.42995
7.6,64.27323
7.7,64.10947
7.8,63.93931
7.9,63.7649
8,63.58348
8.1,63.39524
8.2,63.20539
8.3,63.01617
8.4,62.82819
8.5,62.63994
8.6,62.45267
8.7,62.27255
8.8,62.10085
8.9,61.93455
9,61.77298
9.1,61.61304
9.2,61.45649
9.3,61.30487
9.4,61.15917
9.5,61.01996
9.6,60.8836
9.7,60.75053
9.8,60.62153
9.9,60.49502
10,60.37153
10.1,60.25008
10.2,60.13113
10.3,60.01433
10.4,59.89919
10.5,59.78654
10.6,59.67537
10.7,59.56586
10.8,59.45777
10.9,59.34998
11,59.2438
11.1,59.13821
11.2,59.03587
11.3,58.93588
11.4,58.83774
11.5,58.73946
11.6,58.64271
11.7,58.54771
11.8,58.45393
11.9,58.35944
12,58.26838
12.1,58.17697
12.2,58.08684
12.3,57.99748
12.4,57.91172
12.5,57.82627
12.6,57.74186
12.7,57.65796
12.8,57.57406
12.9,57.49183
13,57.40921
13.1,57.32714
13.2,57.24536
13.3,57.16522
13.4,57.08473
13.5,57.00442
13.6,56.92463
13.7,56.8463
13.8,56.76708
13.9,56.68867
14,56.61121
14.1,56.53324
14.2,56.45559
14.3,56.37883
14.4,56.30294
14.5,56.22559
14.6,56.14896
14.7,56.0728
14.8,55.99734
14.9,55.92182
15,55.84627
15.1,55.77204
15.2,55.69946
15.3,55.62608
15.4,55.55398
15.5,55.48098
15.6,55.40818
15.7,55.33573
15.8,55.2646
15.9,55.19234
16,55.12102
16.1,55.04963
16.2,54.97845
16.3,54.90714
16.4,54.83792
16.5,54.76765
16.6,54.69711
16.7,54.62832
16.8,54.55956
16.9,54.4933
17,54.42637
17.1,54.35918
17.2,54.29134
17.3,54.22442
17.4,54.15846
17.5,54.09201
17.6,54.02367
17.7,53.95634
17.8,53.88964
17.9,53.82347
18,53.75677
18.1,53.69016
18.2,53.62302
18.3,53.55585
18.4,53.49025
18.5,53.42323
18.6,53.35687
18.7,53.29076
18.8,53.22464
18.9,53.15832
19,53.09254
19.1,53.02721
19.2,52.96157
19.3,52.8969
19.4,52.83199
19.5,52.76633
19.6,52.70099
19.7,52.63578
19.8,52.57037
19.9,52.50517
20,52.43989
20.1,52.37513
20.2,52.30927
20.3,52.24362
20.4,52.17878
20.5,52.11415
20.6,52.04804
20.7,51.98275
20.8,51.91866
20.9,51.85252
21,51.78746
21.1,51.72273
21.2,51.65812
21.3,51.59466
21.4,51.53122
21.5,51.46712
21.6,51.40309
21.7,51.33884
21.8,51.27555
21.9,51.21106
22,51.14686
22.1,51.0824
22.2,51.01731
22.3,50.95227
22.4,50.88706
22.5,50.82274
