Absolute Dose(Gy),Brain (1) (Volume: 1329.6 mL)
0,100
0.1,67.26195
0.2,65.04805
0.3,63.65342
0.4,62.51006
0.5,61.59826
0.6,60.79511
0.7,60.08327
0.8,59.4469
0.9,58.83045
1,58.27121
1.1,57.77516
1.2,57.2905
1.3,56.82803
1.4,56.38328
1.5,55.96089
1.6,55.56108
1.7,55.17018
1.8,54.77355
1.9,54.40891
2,54.05245
2.1,53.70074
2.2,53.35944
2.3,53.03282
2.4,52.70227
2.5,52.39003
2.6,52.08054
2.7,51.76818
2.8,51.45305
2.9,51.13463
3,50.82431
3.1,50.5246
3.2,50.23489
3.3,49.94876
3.4,49.66186
3.5,49.37078
3.6,49.07406
3.7,48.77462
3.8,48.47491
3.9,48.17675
4,47.90171
4.1,47.63509
4.2,47.3676
4.3,47.09333
4.4,46.81791
4.5,46.54059
4.6,46.25876
4.7,45.97165
4.8,45.68597
4.9,45.40522
5,45.12079
5.1,44.85645
5.2,44.59644
5.3,44.3345
5.4,44.06341
5.5,43.78703
5.6,43.50448
5.7,43.22041
5.8,42.93517
5.9,42.64987
6,42.37216
6.1,42.07152
6.2,41.79465
6.3,41.50825
6.4,41.21919
6.5,40.92988
6.6,40.63567
6.7,40.33699
6.8,40.02928
6.9,39.70738
7,39.38388
7.1,39.05848
7.2,38.7457
7.3,38.42854
7.4,38.10154
7.5,37.76573
7.6,37.41886
7.7,37.05192
7.8,36.69125
7.9,36.31612
8,35.91901
8.1,35.52073
8.2,35.12034
8.3,34.6986
8.4,34.25549
8.5,33.78649
8.6,33.28962
8.7,32.78341
8.8,32.25766
8.9,31.70475
9,31.10064
9.1,30.44414
9.2,29.73277
9.3,28.96279
9.4,28.0955
9.5,27.10927
9.6,26.01641
9.7,24.78978
9.8,23.33805
9.9,21.36451
10,14.20835
10.1,2.72982
10.2,0.00707
10.3,0
